,listing_id,year,comments,id,lat_lon,price,latitude,longitude
10,44616,2021,1,44616,"['19.41006,-99.17645' '19.41162,-99.17794']",12000.0,19.41006,-99.17645
20,56074,2021,10,56074,"19.43977,-99.15605",600.0,19.43977,-99.15605
32,61792,2021,1,61792,"['19.41083,-99.18057' '19.41259,-99.17959']",1243.0,19.41083,-99.18057
51,70644,2021,5,70644,"['19.35448,-99.16217' '19.35601,-99.16167']",1267.0,19.35448,-99.16217
66,165772,2021,5,165772,"19.40826,-99.18659",3786.5,19.40826,-99.18659
74,171109,2021,5,171109,"['19.39549,-99.17616' '19.39675,-99.17581']",274.5,19.39549,-99.17616
82,180808,2021,1,180808,"19.4239,-99.1689",1494.0,19.4239,-99.1689
115,198778,2021,1,198778,"19.41395,-99.17948",833.0,19.41395,-99.17948
125,204887,2021,1,204887,"['19.40409,-99.17731' '19.4059,-99.17548']",1000.0,19.40409,-99.17731
129,217685,2021,10,217685,"['19.40454,-99.1715' '19.40491,-99.17177']",669.0,19.40454,-99.1715
140,245507,2021,7,245507,"['19.4236,-99.16979' '19.4251,-99.17067']",1013.0,19.4236,-99.16979
169,256555,2021,17,256555,"['19.40631,-99.18691' '19.40663,-99.18653']",3582.5,19.40631,-99.18691
179,261897,2021,2,261897,"19.41835,-99.17363",931.0,19.41835,-99.17363
199,287940,2021,40,287940,"19.41241,-99.1753",566.0,19.41241,-99.1753
221,323030,2021,4,323030,"19.41368,-99.17907",826.0,19.41368,-99.17907
229,324769,2021,3,324769,"['19.45809,-99.19258' '19.45906,-99.19071']",690.5,19.45809,-99.19258
245,326296,2021,2,326296,"19.34034,-99.18345",308.5,19.34034,-99.18345
252,326475,2021,15,326475,"19.41444,-99.15734",598.5,19.41444,-99.15734
271,362583,2021,10,362583,"['19.42947,-99.17083' '19.43165,-99.17132']",1491.0,19.42947,-99.17083
281,370092,2021,42,370092,"19.40213,-99.16924",501.5,19.40213,-99.16924
296,375032,2021,4,375032,"19.4075,-99.17561",1350.0,19.4075,-99.17561
301,386265,2021,1,386265,"19.34303,-99.15425",292.0,19.34303,-99.15425
306,395446,2021,2,395446,"19.41068,-99.17732",1847.5,19.41068,-99.17732
324,454693,2021,13,454693,"['19.40618,-99.17342' '19.40836,-99.1733']",1559.5,19.40618,-99.17342
342,458808,2021,34,458808,"19.42675,-99.1613",579.5,19.42675,-99.1613
349,486913,2021,1,486913,"19.43898,-99.16142",665.0,19.43898,-99.16142
365,501037,2021,15,501037,"19.41578,-99.17425",1100.0,19.41578,-99.17425
369,517503,2021,50,517503,"19.43784,-99.07903",358.5,19.43784,-99.07903
379,527473,2021,47,527473,"19.41887,-99.17333",3044.0,19.41887,-99.17333
383,544105,2021,7,544105,"19.4418,-99.20095",780.0,19.4418,-99.20095
412,583039,2021,2,583039,"19.43374,-99.14616",1408.0,19.43374,-99.14616
441,613181,2021,10,613181,"19.43826,-99.1366",1362.0,19.43826,-99.1366
458,628081,2021,16,628081,"['19.41789,-99.17209' '19.41936,-99.17281']",1712.5,19.41789,-99.17209
483,642797,2021,2,642797,"['19.4143,-99.18042' '19.41499,-99.18215']",9300.5,19.4143,-99.18042
494,655422,2021,6,655422,"19.41417,-99.11566",1366.5,19.41417,-99.11566
504,691019,2021,9,691019,"19.43048,-99.14461",1234.5,19.43048,-99.14461
513,696031,2021,1,696031,"19.44226,-99.18406",1155.0,19.44226,-99.18406
520,696037,2021,1,696037,"19.4418,-99.18402",1340.5,19.4418,-99.18402
538,728372,2021,12,728372,"['19.44222,-99.14461' '19.44371,-99.14442']",2629.5,19.44222,-99.14461
548,729898,2021,43,729898,"['19.41226,-99.16594' '19.41362,-99.16603']",1326.5,19.41226,-99.16594
561,737328,2021,2,737328,"19.43059,-99.17073",1102.0,19.43059,-99.17073
603,796477,2021,3,796477,"19.41824,-99.1756",618.5,19.41824,-99.1756
611,817291,2021,1,817291,"19.38468,-99.17708",928.0,19.38468,-99.17708
620,822005,2021,2,822005,"19.40243,-99.17828",1367.0,19.40243,-99.17828
653,832805,2021,1,832805,"19.44262,-99.14566",432.0,19.44262,-99.14566
697,868843,2021,1,868843,"19.43068,-99.17007",919.5,19.43068,-99.17007
704,868986,2021,4,868986,"19.4306,-99.17074",917.5,19.4306,-99.17074
722,883511,2021,30,883511,"19.44207,-99.14797",2623.5,19.44207,-99.14797
728,898633,2021,3,898633,"19.42063,-99.16586",2755.0,19.42063,-99.16586
737,913084,2021,12,913084,"19.43956,-99.17263",724.0,19.43956,-99.17263
754,939721,2021,30,939721,"19.42288,-99.15488",1499.0,19.42288,-99.15488
763,997247,2021,41,997247,"19.41434,-99.15857",1440.5,19.41434,-99.15857
774,1011428,2021,1,1011428,"['19.34377,-99.19288' '19.34406,-99.19413']",6797.5,19.34377,-99.19288
783,1013504,2021,2,1013504,"19.34034,-99.18345",288.5,19.34034,-99.18345
791,1019309,2021,2,1019309,"19.44325,-99.20191",1906.0,19.44325,-99.20191
800,1022380,2021,15,1022380,"19.43271,-99.13857",1238.0,19.43271,-99.13857
807,1051636,2021,2,1051636,"19.40592,-99.1691",804.0,19.40592,-99.1691
828,1130658,2021,11,1130658,"['19.36763,-99.17944' '19.36809,-99.17821']",788.5,19.36763,-99.17944
832,1135302,2021,1,1135302,"19.36613,-99.17831",400.0,19.36613,-99.17831
844,1167552,2021,8,1167552,"['19.41317,-99.15735' '19.41491,-99.15684']",549.0,19.41317,-99.15735
868,1226234,2021,1,1226234,"['19.42834,-99.19382' '19.42948,-99.19179']",1898.5,19.42834,-99.19382
882,1283294,2021,17,1283294,"19.42801,-99.16467",2998.5,19.42801,-99.16467
888,1286695,2021,5,1286695,"['19.43514,-99.18361' '19.43545,-99.18216']",928.0,19.43514,-99.18361
894,1288566,2021,24,1288566,"['19.43179,-99.19426' '19.43202,-99.19624']",3491.0,19.43179,-99.19426
900,1323378,2021,2,1323378,"19.39084,-99.16981",920.0,19.39084,-99.16981
923,1344188,2021,1,1344188,"19.39219,-99.17705",41780.5,19.39219,-99.17705
949,1403218,2021,2,1403218,"19.44324,-99.14649",1650.0,19.44324,-99.14649
958,1404363,2021,26,1404363,"19.38015,-99.17402",985.5,19.38015,-99.17402
967,1411454,2021,18,1411454,"['19.41701,-99.1658' '19.41702,-99.16712']",1300.0,19.41701,-99.1658
971,1412623,2021,49,1412623,"19.43047,-99.16267",297.0,19.43047,-99.16267
979,1429120,2021,1,1429120,"['19.36891,-99.1801' '19.36926,-99.1804']",300.0,19.36891,-99.1801
987,1441365,2021,10,1441365,"19.42029,-99.17323",1440.0,19.42029,-99.17323
1004,1462549,2021,10,1462549,"19.42833,-99.17634",1021.5,19.42833,-99.17634
1013,1476127,2021,15,1476127,"19.38021,-99.16878",642.0,19.38021,-99.16878
1022,1483498,2021,9,1483498,"['19.41223,-99.1779' '19.4144,-99.17742']",875.0,19.41223,-99.1779
1032,1511307,2021,23,1511307,"19.43335,-99.15476",1328.5,19.43335,-99.15476
1048,1547284,2021,1,1547284,"19.37845,-99.17221",679.0,19.37845,-99.17221
1057,1555819,2021,21,1555819,"['19.41555,-99.16612' '19.41709,-99.16603']",1403.5,19.41555,-99.16612
1078,1627630,2021,25,1627630,"19.41501,-99.16565",1403.5,19.41501,-99.16565
