,listing_id,year,comments,id,lat_lon,price,latitude,longitude
8,44616,2019,16,44616,"['19.41006,-99.17645' '19.41162,-99.17794']",12000.0,19.41006,-99.17645
19,56074,2019,6,56074,"19.43977,-99.15605",600.0,19.43977,-99.15605
27,58955,2019,5,58955,"19.42292,-99.15775",1479.0,19.42292,-99.15775
31,61792,2019,24,61792,"['19.41083,-99.18057' '19.41259,-99.17959']",1243.0,19.41083,-99.18057
41,67703,2019,2,67703,"19.41152,-99.16857",1961.0,19.41152,-99.16857
49,70644,2019,22,70644,"['19.35448,-99.16217' '19.35601,-99.16167']",1267.0,19.35448,-99.16217
55,107078,2019,8,107078,"['19.4313,-99.19438' '19.43211,-99.19327']",3792.0,19.4313,-99.19438
64,165772,2019,54,165772,"19.40826,-99.18659",3786.5,19.40826,-99.18659
72,171109,2019,20,171109,"['19.39549,-99.17616' '19.39675,-99.17581']",274.5,19.39549,-99.17616
81,180808,2019,7,180808,"19.4239,-99.1689",1494.0,19.4239,-99.1689
91,187030,2019,16,187030,"19.41057,-99.1773",1853.0,19.41057,-99.1773
104,194937,2019,15,194937,"19.41057,-99.1773",1335.0,19.41057,-99.1773
113,198778,2019,6,198778,"19.41395,-99.17948",833.0,19.41395,-99.17948
123,204887,2019,6,204887,"['19.40409,-99.17731' '19.4059,-99.17548']",1000.0,19.40409,-99.17731
127,217685,2019,4,217685,"['19.40454,-99.1715' '19.40491,-99.17177']",669.0,19.40454,-99.1715
138,245507,2019,60,245507,"['19.4236,-99.16979' '19.4251,-99.17067']",1013.0,19.4236,-99.16979
149,247543,2019,2,247543,"19.43516,-99.13806",622.0,19.43516,-99.13806
167,256555,2019,54,256555,"['19.40631,-99.18691' '19.40663,-99.18653']",3582.5,19.40631,-99.18691
177,261897,2019,43,261897,"19.41835,-99.17363",931.0,19.41835,-99.17363
190,281134,2019,4,281134,"['19.41108,-99.17634' '19.41125,-99.17634']",2437.5,19.41108,-99.17634
197,287940,2019,100,287940,"19.41241,-99.1753",566.0,19.41241,-99.1753
207,298873,2019,10,298873,"['19.43327,-99.14527' '19.43358,-99.14452']",1554.5,19.43327,-99.14527
219,323030,2019,4,323030,"19.41368,-99.17907",826.0,19.41368,-99.17907
228,324769,2019,18,324769,"['19.45809,-99.19258' '19.45906,-99.19071']",690.5,19.45809,-99.19258
235,325812,2019,10,325812,"19.43319,-99.14665",557.0,19.43319,-99.14665
243,326296,2019,76,326296,"19.34034,-99.18345",308.5,19.34034,-99.18345
250,326475,2019,76,326475,"19.41444,-99.15734",598.5,19.41444,-99.15734
255,329776,2019,6,329776,"['19.27428,-99.1781' '19.2751,-99.17757']",289.0,19.27428,-99.1781
263,331788,2019,86,331788,"19.41975,-99.17341",1587.5,19.41975,-99.17341
279,370092,2019,80,370092,"19.40213,-99.16924",501.5,19.40213,-99.16924
294,375032,2019,6,375032,"19.4075,-99.17561",1350.0,19.4075,-99.17561
299,386265,2019,3,386265,"19.34303,-99.15425",292.0,19.34303,-99.15425
310,419110,2019,28,419110,"['19.41017,-99.17886' '19.41238,-99.17722']",684.0,19.41017,-99.17886
312,422159,2019,3,422159,"19.38942,-99.1358",360.0,19.38942,-99.1358
322,454693,2019,64,454693,"['19.40618,-99.17342' '19.40836,-99.1733']",1559.5,19.40618,-99.17342
340,458808,2019,6,458808,"19.42675,-99.1613",579.5,19.42675,-99.1613
347,486913,2019,10,486913,"19.43898,-99.16142",665.0,19.43898,-99.16142
357,499553,2019,4,499553,"['19.4345,-99.13877' '19.43621,-99.13874']",3875.5,19.4345,-99.13877
364,501037,2019,2,501037,"19.41578,-99.17425",1100.0,19.41578,-99.17425
367,517503,2019,110,517503,"19.43784,-99.07903",358.5,19.43784,-99.07903
377,527473,2019,110,527473,"19.41887,-99.17333",3044.0,19.41887,-99.17333
382,544105,2019,16,544105,"19.4418,-99.20095",780.0,19.4418,-99.20095
387,555663,2019,13,555663,"19.42924,-99.15699",870.0,19.42924,-99.15699
390,561743,2019,1,561743,"19.40598,-99.1807",800.0,19.40598,-99.1807
396,567176,2019,10,567176,"['19.45553,-99.15988' '19.45595,-99.15944']",210.0,19.45553,-99.15988
398,571166,2019,2,571166,"19.41346,-99.1775",2698.0,19.41346,-99.1775
410,583039,2019,18,583039,"19.43374,-99.14616",1408.0,19.43374,-99.14616
430,609012,2019,6,609012,"['19.43221,-99.15708' '19.43294,-99.15559']",1543.5,19.43221,-99.15708
439,613181,2019,30,613181,"19.43826,-99.1366",1362.0,19.43826,-99.1366
448,618711,2019,1,618711,"19.44353,-99.18649",225.0,19.44353,-99.18649
456,628081,2019,98,628081,"['19.41789,-99.17209' '19.41936,-99.17281']",1712.5,19.41789,-99.17209
466,635324,2019,31,635324,"19.35323,-99.19343",823.0,19.35323,-99.19343
481,642797,2019,26,642797,"['19.4143,-99.18042' '19.41499,-99.18215']",9300.5,19.4143,-99.18042
492,655422,2019,40,655422,"19.41417,-99.11566",1366.5,19.41417,-99.11566
502,691019,2019,102,691019,"19.43048,-99.14461",1234.5,19.43048,-99.14461
511,696031,2019,38,696031,"19.44226,-99.18406",1155.0,19.44226,-99.18406
519,696037,2019,2,696037,"19.4418,-99.18402",1340.5,19.4418,-99.18402
527,712611,2019,42,712611,"['19.41031,-99.16434' '19.41046,-99.16409']",932.5,19.41031,-99.16434
536,728372,2019,2,728372,"['19.44222,-99.14461' '19.44371,-99.14442']",2629.5,19.44222,-99.14461
546,729898,2019,100,729898,"['19.41226,-99.16594' '19.41362,-99.16603']",1326.5,19.41226,-99.16594
554,736107,2019,17,736107,"19.42397,-99.15571",1208.0,19.42397,-99.15571
559,737328,2019,14,737328,"19.43059,-99.17073",1102.0,19.43059,-99.17073
571,757338,2019,8,757338,"19.34424,-99.16949",3266.0,19.34424,-99.16949
588,783480,2019,2,783480,"['19.35213,-99.28565' '19.35379,-99.28459']",500.0,19.35213,-99.28565
601,796477,2019,30,796477,"19.41824,-99.1756",618.5,19.41824,-99.1756
618,822005,2019,8,822005,"19.40243,-99.17828",1367.0,19.40243,-99.17828
627,824016,2019,14,824016,"19.40915,-99.17321",900.0,19.40915,-99.17321
634,826691,2019,2,826691,"19.40915,-99.17321",850.0,19.40915,-99.17321
639,826760,2019,3,826760,"19.40915,-99.17321",971.0,19.40915,-99.17321
651,832805,2019,10,832805,"19.44262,-99.14566",432.0,19.44262,-99.14566
655,844818,2019,4,844818,"['19.38265,-99.18203' '19.38336,-99.18197']",460.0,19.38265,-99.18203
663,858277,2019,19,858277,"19.41319,-99.1758",1959.0,19.41319,-99.1758
667,864999,2019,1,864999,"19.34392,-99.16939",621.0,19.34392,-99.16939
675,865012,2019,6,865012,"19.43078,-99.17011",1132.0,19.43078,-99.17011
679,865017,2019,2,865017,"19.34557,-99.17152",620.0,19.34557,-99.17152
686,865045,2019,1,865045,"19.34538,-99.17121",678.0,19.34538,-99.17121
688,865070,2019,4,865070,"19.34562,-99.17087",616.0,19.34562,-99.17087
695,868843,2019,18,868843,"19.43068,-99.17007",919.5,19.43068,-99.17007
702,868986,2019,2,868986,"19.4306,-99.17074",917.5,19.4306,-99.17074
708,869063,2019,20,869063,"19.43052,-99.17003",1126.0,19.43052,-99.17003
712,872238,2019,20,872238,"19.41802,-99.16141",1770.0,19.41802,-99.16141
720,883511,2019,4,883511,"19.44207,-99.14797",2623.5,19.44207,-99.14797
726,898633,2019,2,898633,"19.42063,-99.16586",2755.0,19.42063,-99.16586
735,913084,2019,1,913084,"19.43956,-99.17263",724.0,19.43956,-99.17263
744,927919,2019,6,927919,"19.40916,-99.17517",2499.0,19.40916,-99.17517
