,listing_id,year,comments,id,lat_lon,price,latitude,longitude
7,44616,2018,20,44616,"['19.41006,-99.17645' '19.41162,-99.17794']",12000.0,19.41006,-99.17645
18,56074,2018,8,56074,"19.43977,-99.15605",600.0,19.43977,-99.15605
26,58955,2018,4,58955,"19.42292,-99.15775",1479.0,19.42292,-99.15775
30,61792,2018,70,61792,"['19.41083,-99.18057' '19.41259,-99.17959']",1243.0,19.41083,-99.18057
40,67703,2018,10,67703,"19.41152,-99.16857",1961.0,19.41152,-99.16857
48,70644,2018,28,70644,"['19.35448,-99.16217' '19.35601,-99.16167']",1267.0,19.35448,-99.16217
54,107078,2018,2,107078,"['19.4313,-99.19438' '19.43211,-99.19327']",3792.0,19.4313,-99.19438
63,165772,2018,66,165772,"19.40826,-99.18659",3786.5,19.40826,-99.18659
71,171109,2018,16,171109,"['19.39549,-99.17616' '19.39675,-99.17581']",274.5,19.39549,-99.17616
80,180808,2018,10,180808,"19.4239,-99.1689",1494.0,19.4239,-99.1689
90,187030,2018,10,187030,"19.41057,-99.1773",1853.0,19.41057,-99.1773
97,187745,2018,1,187745,"19.41057,-99.1773",1856.0,19.41057,-99.1773
103,194937,2018,14,194937,"19.41057,-99.1773",1335.0,19.41057,-99.1773
112,198778,2018,20,198778,"19.41395,-99.17948",833.0,19.41395,-99.17948
122,204887,2018,4,204887,"['19.40409,-99.17731' '19.4059,-99.17548']",1000.0,19.40409,-99.17731
137,245507,2018,54,245507,"['19.4236,-99.16979' '19.4251,-99.17067']",1013.0,19.4236,-99.16979
148,247543,2018,14,247543,"19.43516,-99.13806",622.0,19.43516,-99.13806
166,256555,2018,40,256555,"['19.40631,-99.18691' '19.40663,-99.18653']",3582.5,19.40631,-99.18691
176,261897,2018,41,261897,"19.41835,-99.17363",931.0,19.41835,-99.17363
186,271048,2018,2,271048,"['19.42485,-99.17797' '19.42686,-99.17838']",1910.5,19.42485,-99.17797
189,281134,2018,4,281134,"['19.41108,-99.17634' '19.41125,-99.17634']",2437.5,19.41108,-99.17634
196,287940,2018,136,287940,"19.41241,-99.1753",566.0,19.41241,-99.1753
206,298873,2018,46,298873,"['19.43327,-99.14527' '19.43358,-99.14452']",1554.5,19.43327,-99.14527
218,323030,2018,28,323030,"19.41368,-99.17907",826.0,19.41368,-99.17907
227,324769,2018,6,324769,"['19.45809,-99.19258' '19.45906,-99.19071']",690.5,19.45809,-99.19258
234,325812,2018,36,325812,"19.43319,-99.14665",557.0,19.43319,-99.14665
242,326296,2018,102,326296,"19.34034,-99.18345",308.5,19.34034,-99.18345
249,326475,2018,54,326475,"19.41444,-99.15734",598.5,19.41444,-99.15734
254,329776,2018,8,329776,"['19.27428,-99.1781' '19.2751,-99.17757']",289.0,19.27428,-99.1781
262,331788,2018,106,331788,"19.41975,-99.17341",1587.5,19.41975,-99.17341
269,362583,2018,16,362583,"['19.42947,-99.17083' '19.43165,-99.17132']",1491.0,19.42947,-99.17083
278,370092,2018,112,370092,"19.40213,-99.16924",501.5,19.40213,-99.16924
293,375032,2018,14,375032,"19.4075,-99.17561",1350.0,19.4075,-99.17561
298,386265,2018,4,386265,"19.34303,-99.15425",292.0,19.34303,-99.15425
309,419110,2018,46,419110,"['19.41017,-99.17886' '19.41238,-99.17722']",684.0,19.41017,-99.17886
311,422159,2018,5,422159,"19.38942,-99.1358",360.0,19.38942,-99.1358
321,454693,2018,73,454693,"['19.40618,-99.17342' '19.40836,-99.1733']",1559.5,19.40618,-99.17342
339,458808,2018,2,458808,"19.42675,-99.1613",579.5,19.42675,-99.1613
346,486913,2018,4,486913,"19.43898,-99.16142",665.0,19.43898,-99.16142
356,499553,2018,10,499553,"['19.4345,-99.13877' '19.43621,-99.13874']",3875.5,19.4345,-99.13877
363,501037,2018,8,501037,"19.41578,-99.17425",1100.0,19.41578,-99.17425
366,517503,2018,90,517503,"19.43784,-99.07903",358.5,19.43784,-99.07903
376,527473,2018,98,527473,"19.41887,-99.17333",3044.0,19.41887,-99.17333
381,544105,2018,6,544105,"19.4418,-99.20095",780.0,19.4418,-99.20095
386,555663,2018,1,555663,"19.42924,-99.15699",870.0,19.42924,-99.15699
