,listing_id,year,comments,id,lat_lon,price,latitude,longitude
23034,26225947,2020,48,26225947,"19.34823,-99.15949",840.0,19.34823,-99.15949
23038,26226796,2020,3,26226796,"19.43561,-99.17886",886.0,19.43561,-99.17886
23042,26230689,2020,42,26230689,"19.4123,-99.15563",450.0,19.4123,-99.15563
23046,26232072,2020,114,26232072,"19.42069,-99.15654",1054.5,19.42069,-99.15654
23050,26232198,2020,38,26232198,"19.43357,-99.21091",992.0,19.43357,-99.21091
23058,26252341,2020,3,26252341,"19.32415,-99.22112",422.0,19.32415,-99.22112
23061,26255938,2020,70,26255938,"19.43652,-99.20889",660.5,19.43652,-99.20889
23065,26257074,2020,40,26257074,"19.4351,-99.19836",1693.0,19.4351,-99.19836
23069,26258163,2020,18,26258163,"['19.41281,-99.17398' '19.41281,-99.1757']",500.0,19.41281,-99.17398
23073,26269177,2020,76,26269177,"19.43977,-99.13411",853.5,19.43977,-99.13411
23078,26281917,2020,18,26281917,"19.37829,-99.16167",1255.0,19.37829,-99.16167
23081,26302032,2020,2,26302032,"['19.31885,-99.22538' '19.31915,-99.22712']",520.0,19.31885,-99.22538
23088,26304458,2020,14,26304458,"['19.41547,-99.17663' '19.41748,-99.17848']",353.0,19.41547,-99.17663
23093,26307728,2020,94,26307728,"19.42124,-99.15545",1421.5,19.42124,-99.15545
23097,26320293,2020,22,26320293,"19.35691,-99.27399",2775.5,19.35691,-99.27399
23101,26320575,2020,12,26320575,"19.41492,-99.17183",900.0,19.41492,-99.17183
23104,26327289,2020,8,26327289,"19.39427,-99.17721",210.0,19.39427,-99.17721
23106,26330007,2020,2,26330007,"['19.41295,-99.16678' '19.4152,-99.16578']",750.0,19.41295,-99.16678
23110,26331049,2020,52,26331049,"19.34334,-99.16961",517.0,19.34334,-99.16961
23114,26331131,2020,24,26331131,"19.35691,-99.27399",1562.0,19.35691,-99.27399
23118,26332365,2020,59,26332365,"19.41947,-99.15554",984.0,19.41947,-99.15554
23126,26333903,2020,28,26333903,"['19.4182,-99.17595' '19.41894,-99.17631']",3609.0,19.4182,-99.17595
23130,26349216,2020,2,26349216,"['19.41735,-99.16941' '19.41961,-99.16971']",2588.0,19.41735,-99.16941
23134,26357360,2020,2,26357360,"['19.34171,-99.16777' '19.34226,-99.16685']",306.0,19.34171,-99.16777
23138,26357695,2020,6,26357695,"19.42444,-99.1606",1107.5,19.42444,-99.1606
23143,26362725,2020,24,26362725,"19.38544,-99.16665",485.0,19.38544,-99.16665
23148,26365930,2020,3,26365930,"19.41353,-99.16979",2377.0,19.41353,-99.16979
23150,26384510,2020,4,26384510,"19.39334,-99.15998",600.0,19.39334,-99.15998
23160,26390248,2020,40,26390248,"['19.33527,-99.16663' '19.33635,-99.16617']",478.5,19.33527,-99.16663
23166,26393963,2020,30,26393963,"19.42088,-99.16055",1537.5,19.42088,-99.16055
23173,26421178,2020,10,26421178,"['19.39108,-99.17319' '19.39228,-99.17497']",434.0,19.39108,-99.17319
23177,26423855,2020,12,26423855,"['19.41547,-99.17567' '19.41718,-99.17406']",860.5,19.41547,-99.17567
23181,26426087,2020,112,26426087,"19.33843,-99.17724",528.5,19.33843,-99.17724
23185,26427482,2020,10,26427482,"19.42087,-99.13728",350.0,19.42087,-99.13728
23188,26429155,2020,2,26429155,"['19.3333,-99.13004' '19.33371,-99.13043']",500.0,19.3333,-99.13004
23191,26438360,2020,18,26438360,"19.43313,-99.14416",1163.5,19.43313,-99.14416
23194,26440795,2020,4,26440795,"['19.29545,-99.13713' '19.2969,-99.13561']",250.0,19.29545,-99.13713
23197,26441372,2020,6,26441372,"['19.29519,-99.13624' '19.29574,-99.13579']",245.5,19.29519,-99.13624
23206,26449125,2020,14,26449125,"['19.40277,-99.17281' '19.40302,-99.17332']",3650.0,19.40277,-99.17281
23210,26450085,2020,4,26450085,"19.36251,-99.28485",1362.0,19.36251,-99.28485
23214,26450298,2020,8,26450298,"19.42772,-99.17423",1000.0,19.42772,-99.17423
23219,26451119,2020,2,26451119,"19.36251,-99.28485",1807.0,19.36251,-99.28485
23222,26451253,2020,2,26451253,"19.43913,-99.18722",850.0,19.43913,-99.18722
23226,26451582,2020,4,26451582,"19.36251,-99.28485",1635.5,19.36251,-99.28485
23230,26451853,2020,5,26451853,"19.38654,-99.13223",589.0,19.38654,-99.13223
23234,26451913,2020,16,26451913,"19.36251,-99.28485",1628.0,19.36251,-99.28485
23239,26452721,2020,16,26452721,"19.36251,-99.28485",2899.0,19.36251,-99.28485
23243,26452926,2020,10,26452926,"19.36251,-99.28485",1551.0,19.36251,-99.28485
23248,26470531,2020,52,26470531,"['19.40672,-99.16354' '19.40731,-99.16534']",524.0,19.40672,-99.16354
23255,26474493,2020,8,26474493,"['19.34634,-99.19442' '19.34657,-99.195']",700.0,19.34634,-99.19442
23259,26492880,2020,20,26492880,"['19.43076,-99.1687' '19.43196,-99.16848']",325.0,19.43076,-99.1687
23262,26494910,2020,4,26494910,"19.36251,-99.28485",1595.0,19.36251,-99.28485
23265,26497832,2020,10,26497832,"['19.35168,-99.16862' '19.35197,-99.16664']",575.0,19.35168,-99.16862
23269,26500443,2020,10,26500443,"19.43977,-99.15216",556.0,19.43977,-99.15216
23273,26519595,2020,12,26519595,"['19.33397,-99.20012' '19.33486,-99.20031']",958.0,19.33397,-99.20012
23277,26521972,2020,1,26521972,"19.37821,-99.25439",1300.0,19.37821,-99.25439
23281,26528745,2020,22,26528745,"['19.4155,-99.17477' '19.41743,-99.17483']",762.0,19.4155,-99.17477
23285,26531118,2020,22,26531118,"19.36088,-99.28039",2217.5,19.36088,-99.28039
23288,26532144,2020,32,26532144,"['19.32431,-99.12343' '19.32569,-99.12221']",795.5,19.32431,-99.12343
23292,26532314,2020,20,26532314,"['19.41279,-99.16094' '19.41405,-99.1591']",1140.0,19.41279,-99.16094
23295,26554688,2020,122,26554688,"19.44274,-99.19904",1178.5,19.44274,-99.19904
23299,26556101,2020,4,26556101,"['19.45523,-99.19476' '19.4553,-99.19543']",1350.0,19.45523,-99.19476
23302,26558949,2020,8,26558949,"['19.43456,-99.14506' '19.43536,-99.14669']",900.0,19.43456,-99.14506
23305,26562729,2020,44,26562729,"['19.36068,-99.14065' '19.36205,-99.14052']",750.0,19.36068,-99.14065
23309,26566067,2020,20,26566067,"19.43267,-99.14329",850.0,19.43267,-99.14329
23313,26570265,2020,36,26570265,"['19.41838,-99.149' '19.42035,-99.1472']",774.5,19.41838,-99.149
23317,26572155,2020,6,26572155,"19.40841,-99.1704",1790.5,19.40841,-99.1704
23320,26573659,2020,30,26573659,"19.39163,-99.1751",340.0,19.39163,-99.1751
23323,26574577,2020,1,26574577,"19.4373,-99.18837",1499.0,19.4373,-99.18837
23330,26595305,2020,2,26595305,"19.35407,-99.18544",1329.0,19.35407,-99.18544
23337,26597972,2020,16,26597972,"19.43251,-99.15173",800.0,19.43251,-99.15173
23340,26598295,2020,7,26598295,"19.43704,-99.16523",500.0,19.43704,-99.16523
23341,26599322,2020,2,26599322,"19.35666,-99.15722",800.0,19.35666,-99.15722
23345,26603752,2020,10,26603752,"['19.44594,-99.17152' '19.44782,-99.17323']",525.0,19.44594,-99.17152
23349,26614420,2020,6,26614420,"19.44887,-99.15686",210.0,19.44887,-99.15686
23352,26626586,2020,18,26626586,"19.43581,-99.17814",2309.0,19.43581,-99.17814
23356,26631019,2020,13,26631019,"19.40382,-99.1583",780.0,19.40382,-99.1583
23362,26632907,2020,86,26632907,"19.39414,-99.17799",947.0,19.39414,-99.17799
23366,26634196,2020,20,26634196,"['19.42497,-99.17546' '19.42647,-99.17551']",775.0,19.42497,-99.17546
23370,26635024,2020,42,26635024,"['19.3938,-99.17663' '19.39457,-99.17653']",972.5,19.3938,-99.17663
23374,26635383,2020,22,26635383,"['19.39221,-99.17638' '19.39319,-99.17639']",975.0,19.39221,-99.17638
23378,26637776,2020,64,26637776,"['19.39223,-99.17586' '19.3939,-99.17583']",1042.5,19.39223,-99.17586
23382,26639644,2020,7,26639644,"19.42043,-99.15903",2082.0,19.42043,-99.15903
23386,26639909,2020,2,26639909,"19.42712,-99.17129",1961.0,19.42712,-99.17129
23391,26643544,2020,2,26643544,"['19.47142,-99.18839' '19.4715,-99.18824']",578.5,19.47142,-99.18839
23397,26653916,2020,28,26653916,"19.43226,-99.15001",1290.0,19.43226,-99.15001
23400,26655632,2020,4,26655632,"19.41205,-99.17082",1812.0,19.41205,-99.17082
23403,26662457,2020,24,26662457,"['19.42388,-99.16784' '19.42417,-99.16863']",1590.0,19.42388,-99.16784
23407,26663069,2020,14,26663069,"['19.39169,-99.1744' '19.39312,-99.17237']",345.0,19.39169,-99.1744
23411,26663699,2020,6,26663699,"['19.39276,-99.1778' '19.39393,-99.17617']",1260.0,19.39276,-99.1778
